cid	chembl_id	smiles	InChI Key
176873	CHEMBL429876	CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C	AMLYAMJWYAIXIA-VWNVYAMZSA-N
129009921	CHEMBL4303367	c1ccc(C2(c3ccccc3)CC2=C2NCCN2)cc1	AMRFVEMXRRPNJH-UHFFFAOYSA-N
6477	CHEMBL154166	CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1	AMTPYFGPPVFBBI-UHFFFAOYSA-N
148184	CHEMBL136800	O=C(c1ccc2nccnc2c1)N1CCCCC1	ANDGGVOPIJEHOF-UHFFFAOYSA-N
4008	CHEMBL312176	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1	ANEBWFXPVPTEET-UHFFFAOYSA-N
3494	CHEMBL1201335	C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1	ANGKOCUUWGHLCE-UHFFFAOYSA-N
11292933	CHEMBL1631540	Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1	ANGUXJDGJCHGOG-UHFFFAOYSA-N
10235	CHEMBL497939	O=c1cccc2n1C[C@@H]1CNC[C@H]2C1	ANJTVLIZGCUXLD-DTWKUNHWSA-N
124246	CHEMBL2107455	CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1	ANMATWQYLIFGOK-UHFFFAOYSA-N
48229	CHEMBL1081506	O=C1OC(OC(=O)c2cccnc2Nc2cccc(C(F)(F)F)c2)c2ccccc21	ANMLJLFWUCQGKZ-UHFFFAOYSA-N
8421	CHEMBL26019	COc1ccc(CCN)cc1OC	ANOUKFYBOAKOIR-UHFFFAOYSA-N
54766	CHEMBL521589	CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1	ANZXOIAKUNOVQU-UHFFFAOYSA-N
2577	CHEMBL460499	CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O	AOCCBINRVIKJHY-UHFFFAOYSA-N
41867	CHEMBL417	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	AOJJSUZBOXZQNB-VTZDEGQISA-N
31703	CHEMBL53463	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1	AOJJSUZBOXZQNB-TZSSRYMLSA-N
8430	CHEMBL1996872	CCCCCCCCCCCC(=O)N(CCO)CCO	AOMUHOFOVNGZAN-UHFFFAOYSA-N
49867939	CHEMBL5308497	CC1(C)C[C@@H](C(=O)O)C2CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1	AOWMBRPPHGNFDX-HPPBOAITSA-N
72836888	CHEMBL3421914	CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Oc4ccc5c(c4)CC(=O)N5)c3)cc2C(F)(F)F)CC1	AOZPVMOOEJAZGK-UHFFFAOYSA-N
9847023	CHEMBL138399	C[C@]12C=CC(=O)C=C1CCC1C2[C@@H](O)C[C@@]2(C)C1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O	APGDTXUMTIZLCJ-PILPDLGISA-N
44607360	CHEMBL1643976	C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1	APHGZZPEOCCYNO-UHFFFAOYSA-N
5280965	CHEMBL267345	C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O	APKFDSVGJQXUKY-INPOYWNPSA-N
3360	CHEMBL2105075	O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12	APQPGQGAWABJLN-UHFFFAOYSA-N
119053	CHEMBL1256415	COc1ccc2nc3c(c(N)c2c1)CCCC3	APQPVVOYBLOJDY-UHFFFAOYSA-N
5480230	CHEMBL573214	Oc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(O)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4	APSUXPSYBJVPPS-YAUKWVCOSA-N
